Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
4004,項目,こうもく,"item, clause",論文の<b>項目</b>を分かりやすく整理したわ。,ろんぶん の <b>こうもく</b> を わかりやすく せいり した わ,I arranged the items of the thesis in an approachable manner.,項目[こうもく],論文[ろんぶん]の<b> 項目[こうもく]</b>を 分[わ]かりやすく 整理[せいり]したわ。,論文[ろんぶん]の<b>（　）</b>を 分[わ]かりやすく 整理[せいり]したわ。
4005,要項,ようこう,important points,募集<b>要項</b>をよくお読みください。,ぼしゅう <b>ようこう</b> を よく お よみ ください,Please read the application guidelines carefully.,要項[ようこう],募集[ぼしゅう]<b> 要項[ようこう]</b>をよくお 読[よ]みください。,募集[ぼしゅう]<b>（　）</b>をよくお 読[よ]みください。
4006,印象,いんしょう,impression,彼から良い<b>印象</b>を受けたわ。,かれ から いい <b>いんしょう</b> を うけた わ,I got a good impression from him.,印象[いんしょう],彼[かれ]から 良[い]い<b> 印象[いんしょう]</b>を 受[う]けたわ。,彼[かれ]から 良[い]い<b>（　）</b>を 受[う]けたわ。
4007,組み合わせ,くみあわせ,"combination, assortment",色の<b>組み合わせ</b>で印象が変わりますよ。,いろ の <b>くみあわせ</b> で いんしょう が かわります よ,The image changes according to the combination of colors.,組[く]み 合[あ]わせ,色[いろ]の<b> 組[く]み 合[あ]わせ</b>で 印象[いんしょう]が 変[か]わりますよ。,色[いろ]の<b>（　）</b>で 印象[いんしょう]が 変[か]わりますよ。
4008,週刊,しゅうかん,published weekly,この<b>週刊</b>誌を毎週買っているの。,この <b>しゅうかん</b>し を まいしゅう かって いる の,I buy this weekly magazine every week.,週刊[しゅうかん],この<b> 週刊[しゅうかん]</b> 誌[し]を 毎週買[まいしゅう か]っているの。,この<b>（　）</b> 誌[し]を 毎週買[まいしゅう か]っているの。
4009,月刊,げっかん,published monthly,この雑誌は<b>月刊</b>ですか。,この ざっし は <b>げっかん</b> です か,Is this magazine monthly?,月刊[げっかん],この 雑誌[ざっし]は<b> 月刊[げっかん]</b>ですか。,この 雑誌[ざっし]は<b>（　）</b>ですか。
4010,古本,ふるほん,secondhand book,おととい<b>古本</b>を3冊買いました。,おととい <b>ふるほん</b> を 3 さつ かいました,I bought three secondhand books the day before yesterday.,古本[ふるほん],おととい<b> 古本[ふるほん]</b>を3 冊買[さつ か]いました。,おととい<b>（　）</b>を3 冊買[さつ か]いました。
4011,出版,しゅっぱん,"publishing, publication",この本は15年前に<b>出版</b>された。,この ほん は じゅうごねんまえ に <b>しゅっぱん</b> された,This book was published 15 years ago.,出版[しゅっぱん],この 本[ほん]は 15年前[じゅうごねんまえ]に<b> 出版[しゅっぱん]</b>された。,この 本[ほん]は 15年前[じゅうごねんまえ]に<b>（　）</b>された。
4012,出版社,しゅっぱんしゃ,publishing company,彼女は<b>出版社</b>で働いています。,かのじょ は <b>しゅっぱんしゃ</b> で はたらいて います,She works for a publisher.,出版社[しゅっぱんしゃ],彼女[かのじょ]は<b> 出版社[しゅっぱんしゃ]</b>で 働[はたら]いています。,彼女[かのじょ]は<b>（　）</b>で 働[はたら]いています。
4013,地理,ちり,geography,彼は<b>地理</b>に詳しいの。,かれ は <b>ちり</b> に くわしい の,He's knowledgeable in geography.,地理[ちり],彼[かれ]は<b> 地理[ちり]</b>に 詳[くわ]しいの。,彼[かれ]は<b>（　）</b>に 詳[くわ]しいの。
4014,注,ちゅう,"annotation, explanatory note",詳しくは<b>注</b>を読んでください。,くわしくは <b>ちゅう</b> を よんで ください,"For details, please read the notes.",注[ちゅう],詳[くわ]しくは<b> 注[ちゅう]</b>を 読[よ]んでください。,詳[くわ]しくは<b>（　）</b>を 読[よ]んでください。
4015,神経,しんけい,"sensitivity, nerves",彼は<b>神経</b>が細かいですね。,かれ は <b>しんけい</b> が こまかい です ね,He is very sensitive.,神経[しんけい],彼[かれ]は<b> 神経[しんけい]</b>が 細[こま]かいですね。,彼[かれ]は<b>（　）</b>が 細[こま]かいですね。
4016,詳細,しょうさい,"details, particulars",<b>詳細</b>はお気軽にお問い合わせ下さい。,<b>しょうさい</b> は おきがる に おといあわせ ください,Please do not hesitate to inquire for further details.,詳細[しょうさい],<b> 詳細[しょうさい]</b>はお 気軽[きがる]にお 問[と]い 合[あ]わせ 下[くだ]さい。,<b>（　）</b>はお 気軽[きがる]にお 問[と]い 合[あ]わせ 下[くだ]さい。
4017,心細い,こころぼそい,"helpless, lonely",夜道の一人歩きは<b>心細い</b>ね。,よみち の ひとりあるき は <b>こころぼそい</b> ね,Walking alone at night makes one feel uneasy.,心細[こころぼそ]い,夜道[よみち]の 一人歩[ひとりある]きは<b> 心細[こころぼそ]い</b>ね。,夜道[よみち]の 一人歩[ひとりある]きは<b>（　）</b>ね。
4018,通知,つうち,notification,明日、詳細を<b>通知</b>します。,あす、 しょうさい を <b>つうち</b> します,I'll notify you of the details tomorrow.,通知[つうち],明日[あす]、 詳細[しょうさい]を<b> 通知[つうち]</b>します。,明日[あす]、 詳細[しょうさい]を<b>（　）</b>します。
4019,ちぎる,ちぎる,"tear, tear off",紙を細かく<b>ちぎって</b>ください。,かみ を こまかく <b>ちぎって</b> ください,Please shred the paper.,ちぎる,紙[かみ]を 細[こま]かく<b>ちぎって</b>ください。,紙[かみ]を 細[こま]かく<b>（　）</b>ください。
4020,ファックス,ファックス,"facsimile, fax",詳細は<b>ファックス</b>で送ります。,しょうさい は <b>ふぁっくす</b> で おくります,I'll send the details by fax.,ファックス,詳細[しょうさい]は<b>ファックス</b>で 送[おく]ります。,詳細[しょうさい]は<b>（　）</b>で 送[おく]ります。
4021,掲示,けいじ,"notice, bulletin",大会のスローガンを<b>掲示</b>したよ。,たいかい の すろーがん を <b>けいじ</b> した よ,I posted the rally's slogan.,掲示[けいじ],大会[たいかい]のスローガンを<b> 掲示[けいじ]</b>したよ。,大会[たいかい]のスローガンを<b>（　）</b>したよ。
4022,載る,のる,appear in print,先生の論文が雑誌に<b>載りました</b>よ。,せんせい の ろんぶん が ざっし に <b>のりました</b> よ,Our professor's paper was published in the journal.,載[の]る,先生[せんせい]の 論文[ろんぶん]が 雑誌[ざっし]に<b> 載[の]りました</b>よ。,先生[せんせい]の 論文[ろんぶん]が 雑誌[ざっし]に<b>（　）</b>よ。
4023,積極的,せっきょくてき,"positive, active",姉は何に対しても<b>積極的</b>です。,あね は なに に たいして も <b>せっきょくてき</b> です,My elder sister is positive about everything.,積極的[せっきょくてき],姉[あね]は 何[なに]に 対[たい]しても<b> 積極的[せっきょくてき]</b>です。,姉[あね]は 何[なに]に 対[たい]しても<b>（　）</b>です。
4024,三角形,さんかくけい,triangle,この<b>三角形</b>の面積を出しなさい。,この <b>さんかくけい</b> の めんせき を だしなさい,Figure out the dimensions of this triangle.,三角形[さんかくけい],この<b> 三角形[さんかくけい]</b>の 面積[めんせき]を 出[だ]しなさい。,この<b>（　）</b>の 面積[めんせき]を 出[だ]しなさい。
4025,積む,つむ,"pile up, accumulate",車に荷物を<b>積んで</b>ください。,くるま に にもつ を <b>つんで</b> ください,Please load the luggage into the car.,積[つ]む,車[くるま]に 荷物[にもつ]を<b> 積[つ]んで</b>ください。,車[くるま]に 荷物[にもつ]を<b>（　）</b>ください。
4026,面積,めんせき,"area, square measure",この土地の<b>面積</b>はどれ位ですか。,この とち の <b>めんせき</b> は どれ くらい です か,What is the area of this land?,面積[めんせき],この 土地[とち]の<b> 面積[めんせき]</b>はどれ 位[くらい]ですか。,この 土地[とち]の<b>（　）</b>はどれ 位[くらい]ですか。
4027,ちり,ちり,dust,<b>ちり</b>も積もれば山となる。,<b>ちり</b> も つもれば やま と なる 。,A penny saved is a penny earned.,ちり,<b>ちり</b>も 積[つ]もれば 山[やま]となる。,<b>（　）</b>も 積[つ]もれば 山[やま]となる。
4028,平方,へいほう,square,この土地の面積は約100<b>平方</b>メートルです。,この とち の めんせき は やく 100 <b>へいほう</b>めーとる です,The area of this land is about 100 square meters.,平方[へいほう],この 土地[とち]の 面積[めんせき]は 約100[やく 100]<b> 平方[へいほう]</b>メートルです。,この 土地[とち]の 面積[めんせき]は 約100[やく 100]<b>（　）</b>メートルです。
4029,言い訳,いいわけ,"apology, excuse",あなたは<b>言い訳</b>が多すぎます。,あなた は <b>いいわけ</b> が おおすぎます,You give too many excuses.,言[い]い 訳[わけ],あなたは<b> 言[い]い 訳[わけ]</b>が 多[おお]すぎます。,あなたは<b>（　）</b>が 多[おお]すぎます。
4030,どうしても,どうしても,"by any means, really",<b>どうしても</b>その訳を知りたい。,<b>どうしても</b> その わけ を しりたい,I really want to know about the circumstances.,どうしても,<b>どうしても</b>その 訳[わけ]を 知[し]りたい。,<b>（　）</b>その 訳[わけ]を 知[し]りたい。
4031,翻訳,ほんやく,translation,彼の<b>翻訳</b>は分かりやすいですよ。,かれ の <b>ほんやく</b> は わかりやすい です よ,His translation is easy to understand.,翻訳[ほんやく],彼[かれ]の<b> 翻訳[ほんやく]</b>は 分[わ]かりやすいですよ。,彼[かれ]の<b>（　）</b>は 分[わ]かりやすいですよ。
4032,通訳,つうやく,interpreting,私は<b>通訳</b>です。,わたし は <b>つうやく</b> です,I'm an interpreter.,通訳[つうやく],私[わたし]は<b> 通訳[つうやく]</b>です。,私[わたし]は<b>（　）</b>です。
4033,申し訳ない,もうしわけない,"sorry, inexcusable",彼には<b>申し訳ない</b>ことをした。,かれ に は <b>もうしわけない</b> こと を した,I did something inexcusable to him.,申[もう]し 訳[わけ]ない,彼[かれ]には<b> 申[もう]し 訳[わけ]ない</b>ことをした。,彼[かれ]には<b>（　）</b>ことをした。
4034,訳,わけ,"reason, cause",そんな<b>訳</b>で、私は仕事を辞めました。,そんな <b>わけ</b> で わたし は しごと を やめました,I quit my job for that reason.,訳[わけ],そんな<b> 訳[わけ]</b>で、 私[わたし]は 仕事[しごと]を 辞[や]めました。,そんな<b>（　）</b>で、 私[わたし]は 仕事[しごと]を 辞[や]めました。
4035,申し訳,もうしわけ,"excuse, apology",<b>申し訳</b>ございません。,<b>もうしわけ</b> ございません,I'm very sorry.,申[もう]し 訳[わけ],<b> 申[もう]し 訳[わけ]</b>ございません。,<b>（　）</b>ございません。
4036,誤り,あやまり,"error, mistake",解答に<b>誤り</b>が3つ有りますよ。,かいとう に <b>あやまり</b> が みっつ あります よ,There are three errors in the answer.,誤[あやま]り,解答[かいとう]に<b> 誤[あやま]り</b>が 3[みっ]つ 有[あ]りますよ。,解答[かいとう]に<b>（　）</b>が 3[みっ]つ 有[あ]りますよ。
4037,誤る,あやまる,make a mistake,彼は機械の操作を<b>誤った</b>。,かれ は きかい の そうさ を <b>あやまった</b>,He made a mistake operating the machine.,誤[あやま]る,彼[かれ]は 機械[きかい]の 操作[そうさ]を<b> 誤[あやま]った</b>。,彼[かれ]は 機械[きかい]の 操作[そうさ]を<b>（　）</b>。
4038,誤解,ごかい,misunderstanding,私の気持ちを<b>誤解</b>しているんじゃない！,わたし の きもち を <b>ごかい</b> して いる ん じゃ ない,"You have misunderstood my feelings, haven't you?",誤解[ごかい],私[わたし]の 気持[きも]ちを<b> 誤解[ごかい]</b>しているんじゃない！,私[わたし]の 気持[きも]ちを<b>（　）</b>しているんじゃない！
4039,訂正,ていせい,"correction, amendment",間違いを<b>訂正</b>しました。,まちがい を <b>ていせい</b> しました,I corrected the mistakes.,訂正[ていせい],間違[まちが]いを<b> 訂正[ていせい]</b>しました。,間違[まちが]いを<b>（　）</b>しました。
4040,修正,しゅうせい,"correction, revision",検討の結果、案を<b>修正</b>したよ。,けんとう の けっか あん を <b>しゅうせい</b> した よ,We adjusted the plan as a result of our deliberations.,修正[しゅうせい],検討[けんとう]の 結果[けっか]、 案[あん]を<b> 修正[しゅうせい]</b>したよ。,検討[けんとう]の 結果[けっか]、 案[あん]を<b>（　）</b>したよ。
4041,討論,とうろん,"debate, discussion",その問題についてクラスで<b>討論</b>しました。,その もんだい に ついて くらす で <b>とうろん</b> しました,The problem was discussed in class.,討論[とうろん],その 問題[もんだい]についてクラスで<b> 討論[とうろん]</b>しました。,その 問題[もんだい]についてクラスで<b>（　）</b>しました。
4042,前向き,まえむき,"facing forward, positively",<b>前向き</b>に検討します。,<b>まえむき</b> に けんとう します,We'll give positive consideration to the matter.,前向[まえむ]き,<b> 前向[まえむ]き</b>に 検討[けんとう]します。,<b>（　）</b>に 検討[けんとう]します。
4043,キャベツ,キャベツ,cabbage,<b>キャベツ</b>の千切りを添えたよ。,<b>きゃべつ</b> の せんぎり を そえた よ,I garnished it with shredded cabbage.,キャベツ,<b>キャベツ</b>の 千切[せんぎ]りを 添[そ]えたよ。,<b>（　）</b>の 千切[せんぎ]りを 添[そ]えたよ。
4044,添う,そう,"accompany, go along with",あなたの期待に<b>添えなくて</b>すみません。,あなた の きたい に <b>そえなくて</b> すみません,I'm sorry I couldn't fulfill your expectation.,添[そ]う,あなたの 期待[きたい]に<b> 添[そ]えなくて</b>すみません。,あなたの 期待[きたい]に<b>（　）</b>すみません。
4045,需要,じゅよう,demand,<b>需要</b>が多過ぎて生産が追い付きません。,<b>じゅよう</b> が おおすぎ て せいさん が おいつきません,There's a lot of demand and production can't keep up.,需要[じゅよう],<b> 需要[じゅよう]</b>が 多過[おおす]ぎて 生産[せいさん]が 追[お]い 付[つ]きません。,<b>（　）</b>が 多過[おおす]ぎて 生産[せいさん]が 追[お]い 付[つ]きません。
4046,成果,せいか,"result, fruit",厳しい練習が良い<b>成果</b>に結び付きました。,きびしい れんしゅう が よい <b>せいか</b> に むすびつきました,Intense training leads to good results.,成果[せいか],厳[きび]しい 練習[れんしゅう]が 良[よ]い<b> 成果[せいか]</b>に 結[むす]び 付[つ]きました。,厳[きび]しい 練習[れんしゅう]が 良[よ]い<b>（　）</b>に 結[むす]び 付[つ]きました。
4047,以後,いご,"from now on, after that",すみません、<b>以後</b>気を付けます。,すみません <b>いご</b> き を つけます,"Sorry, I'll be more careful from now on.",以後[いご],すみません、<b> 以後[いご]</b> 気[き]を 付[つ]けます。,すみません、<b>（　）</b> 気[き]を 付[つ]けます。
4048,気付く,きづく,"notice, become aware of",彼はやっと問題点に<b>気付きました</b>。,かれ は やっと もんだいてん に <b>きづきました</b>,He finally noticed the problem.,気付[きづ]く,彼[かれ]はやっと 問題点[もんだいてん]に<b> 気付[きづ]きました</b>。,彼[かれ]はやっと 問題点[もんだいてん]に<b>（　）</b>。
4049,衛生,えいせい,"hygiene, sanitation",<b>衛生</b>には十分気を付けましょう。,<b>えいせい</b> に は じゅうぶん き を つけましょう,Let's take proper care of hygiene.,衛生[えいせい],<b> 衛生[えいせい]</b>には 十分気[じゅうぶん き]を 付[つ]けましょう。,<b>（　）</b>には 十分気[じゅうぶん き]を 付[つ]けましょう。
4050,エアコン,エアコン,"air-conditioning, air conditioner",部屋に<b>エアコン</b>を取り付けたんだ。,へや に <b>えあこん</b> を とりつけた ん だ,The air conditioner was installed in the room.,エアコン,部屋[へや]に<b>エアコン</b>を 取[と]り 付[つ]けたんだ。,部屋[へや]に<b>（　）</b>を 取[と]り 付[つ]けたんだ。
4051,学力,がくりょく,"scholastic performance, academic ability",<b>学力</b>を付けてその大学に進みたい。,<b>がくりょく</b> を つけて その だいがく に すすみたい,I want to improve my academic skills then go to that college.,学力[がくりょく],<b> 学力[がくりょく]</b>を 付[つ]けてその 大学[だいがく]に 進[すす]みたい。,<b>（　）</b>を 付[つ]けてその 大学[だいがく]に 進[すす]みたい。
4052,印,しるし,"mark, symbol",間違いに<b>印</b>を付けておきました。,まちがい に <b>しるし</b> を つけて おきました,I marked the mistakes.,印[しるし],間違[まちが]いに<b> 印[しるし]</b>を 付[つ]けておきました。,間違[まちが]いに<b>（　）</b>を 付[つ]けておきました。
4053,ガード,ガード,guard rail,歩道に新しく<b>ガード</b>が付きましたね。,ほどう に あたらしく <b>がーど</b> が つきました ね,They put a new guardrail on the pavement.,ガード,歩道[ほどう]に 新[あたら]しく<b>ガード</b>が 付[つ]きましたね。,歩道[ほどう]に 新[あたら]しく<b>（　）</b>が 付[つ]きましたね。
4054,イントネーション,イントネーション,intonation,<b>イントネーション</b>の違いに気を付けて。,<b>いんとねーしょん</b> の ちがい に き を つけて,Be careful about the difference in intonation.,イントネーション,<b>イントネーション</b>の 違[ちが]いに 気[き]を 付[つ]けて。,<b>（　）</b>の 違[ちが]いに 気[き]を 付[つ]けて。
4055,追い付く,おいつく,"overtake, catch up with",駅でようやく彼に<b>追い付きました</b>。,えき で ようやく かれ に <b>おいつきました</b>,I finally caught up with him at the station.,追[お]い 付[つ]く,駅[えき]でようやく 彼[かれ]に<b> 追[お]い 付[つ]きました</b>。,駅[えき]でようやく 彼[かれ]に<b>（　）</b>。
4056,思い付く,おもいつく,"think of, hit upon",彼は名案を<b>思い付いた</b>の。,かれ は めいあん を <b>おもいついた</b> の,He hit on a good idea.,思[おも]い 付[つ]く,彼[かれ]は 名案[めいあん]を<b> 思[おも]い 付[つ]いた</b>の。,彼[かれ]は 名案[めいあん]を<b>（　）</b>の。
4057,足下,あしもと,"step, under foot",暗いので<b>足下</b>に気を付けてください。,くらい の で <b>あしもと</b> に き を つけて ください,Please watch your step in the dark.,足下[あしもと],暗[くら]いので<b> 足下[あしもと]</b>に 気[き]を 付[つ]けてください。,暗[くら]いので<b>（　）</b>に 気[き]を 付[つ]けてください。
4058,傷付ける,きずつける,"wound, hurt",あなたを<b>傷付ける</b>つもりはありませんでした。,あなた を <b>きずつける</b> つもり は ありませんでした,I didn't intend to hurt you.,傷付[きずつ]ける,あなたを<b> 傷付[きずつ]ける</b>つもりはありませんでした。,あなたを<b>（　）</b>つもりはありませんでした。
4059,これから,これから,"from now on, after this",<b>これから</b>はもっと気を付けます。,<b>これから</b> は もっと き を つけます,I will be more careful from now on.,これから,<b>これから</b>はもっと 気[き]を 付[つ]けます。,<b>（　）</b>はもっと 気[き]を 付[つ]けます。
4060,付き合い,つきあい,"friendship, association",今日は<b>付き合い</b>で帰りが遅くなります。,きょう は <b>つきあい</b> で かえり が おそく なります,I'm coming home late today so I can socialize with my colleagues.,付[つ]き 合[あ]い,今日[きょう]は<b> 付[つ]き 合[あ]い</b>で 帰[かえ]りが 遅[おそ]くなります。,今日[きょう]は<b>（　）</b>で 帰[かえ]りが 遅[おそ]くなります。
4061,付け加える,つけくわえる,add,自分の考えを<b>付け加えました</b>。,じぶん の かんがえ を <b>つけくわえました</b>,I added my own idea.,付[つ]け 加[くわ]える,自分[じぶん]の 考[かんが]えを<b> 付[つ]け 加[くわ]えました</b>。,自分[じぶん]の 考[かんが]えを<b>（　）</b>。
4062,付き合う,つきあう,"socialize with, see someone",彼女と4年ほど<b>付き合って</b>います。,かのじょ と 4 ねん ほど <b>つきあって</b> います,I've been seeing her for 4 years now.,付[つ]き 合[あ]う,彼女[かのじょ]と4 年[ねん]ほど<b> 付[つ]き 合[あ]って</b>います。,彼女[かのじょ]と4 年[ねん]ほど<b>（　）</b>います。
4063,付録,ふろく,"appendix, supplement",今月の<b>付録</b>はアニメのDVDです。,こんげつ の <b>ふろく</b> は あにめ の でぃーぶぃーでぃー です,The free gift this month is an anime DVD.,付録[ふろく],今月[こんげつ]の<b> 付録[ふろく]</b>はアニメの DVD[でぃーぶぃーでぃー]です。,今月[こんげつ]の<b>（　）</b>はアニメの DVD[でぃーぶぃーでぃー]です。
4064,近付ける,ちかづける,bring close,私は顔を窓に<b>近付けた</b>んだ。,わたし は かお を まど に <b>ちかづけた</b> ん だ,I brought my face close to the window.,近付[ちかづ]ける,私[わたし]は 顔[かお]を 窓[まど]に<b> 近付[ちかづ]けた</b>んだ。,私[わたし]は 顔[かお]を 窓[まど]に<b>（　）</b>んだ。
4065,付け足す,つけたす,"add on, append",何か<b>付け足す</b>ことはありますか。,なにか <b>つけたす</b> こと は あります か,Is there anything to add?,付[つ]け 足[た]す,何[なに]か<b> 付[つ]け 足[た]す</b>ことはありますか。,何[なに]か<b>（　）</b>ことはありますか。
4066,日付け,ひづけ,date,今日の<b>日付け</b>は6月19日です。,きょう の <b>ひづけ</b> は 6 がつ 19 にち です,Today's date is June 19th.,日付[ひづ]け,今日[きょう]の<b> 日付[ひづ]け</b>は6 月19日[がつ 19 にち]です。,今日[きょう]の<b>（　）</b>は6 月19日[がつ 19 にち]です。
4067,金属,きんぞく,metal,アルミニウムは<b>金属</b>の一種です。,あるみにうむ は <b>きんぞく</b> の いっしゅ です,Aluminum is a kind of metal.,金属[きんぞく],アルミニウムは<b> 金属[きんぞく]</b>の 一種[いっしゅ]です。,アルミニウムは<b>（　）</b>の 一種[いっしゅ]です。
4068,所属,しょぞく,"belonging, attachment",学校では音楽部に<b>所属</b>していました。,がっこう で は おんがくぶ に <b>しょぞく</b> して いました,I belonged to the music club at school.,所属[しょぞく],学校[がっこう]では 音楽部[おんがくぶ]に<b> 所属[しょぞく]</b>していました。,学校[がっこう]では 音楽部[おんがくぶ]に<b>（　）</b>していました。
4069,付属,ふぞく,"attachment, belonging",このソフトには色々なツールが<b>付属</b>しています。,この そふと に は いろいろ な つーる が <b>ふぞく</b> して います,Various tools are included with this software.,付属[ふぞく],このソフトには 色々[いろいろ]なツールが<b> 付属[ふぞく]</b>しています。,このソフトには 色々[いろいろ]なツールが<b>（　）</b>しています。
4070,バット,バット,bat,この<b>バット</b>は金属で出来ています。,この <b>ばっと</b> は きんぞく で できて います,This bat is made of metal.,バット,この<b>バット</b>は 金属[きんぞく]で 出来[でき]ています。,この<b>（　）</b>は 金属[きんぞく]で 出来[でき]ています。
4071,属する,ぞくする,"belong to, be one of",私は市民オーケストラに<b>属しています</b>。,わたし は しみん おーけすとら に <b>ぞくして います</b>,I belong to the civic orchestra.,属[ぞく]する,私[わたし]は 市民[しみん]オーケストラに<b> 属[ぞく]しています</b>。,私[わたし]は 市民[しみん]オーケストラに<b>（　）</b>。
4072,ポスター,ポスター,poster,電柱に<b>ポスター</b>が貼ってあった。,でんちゅう に <b>ぽすたー</b> が はって あった,There was a poster pasted to the telegraph pole.,ポスター,電柱[でんちゅう]に<b>ポスター</b>が 貼[は]ってあった。,電柱[でんちゅう]に<b>（　）</b>が 貼[は]ってあった。
4073,大蔵省,おおくらしょう,Ministry of Finance,彼は<b>大蔵省</b>に勤務しているんだよ。,かれ は <b>おおくらしょう</b> に きんむ して いる ん だ よ,He works for the Ministry of Finance.,大蔵省[おおくらしょう],彼[かれ]は<b> 大蔵省[おおくらしょう]</b>に 勤務[きんむ]しているんだよ。,彼[かれ]は<b>（　）</b>に 勤務[きんむ]しているんだよ。
4074,外務省,がいむしょう,Ministry of Foreign Affairs,ビザについて<b>外務省</b>に問い合わせた。,びざ に ついて <b>がいむしょう</b> に といあわせた,I contacted the Ministry of Foreign Affairs to enquire about the visa.,外務省[がいむしょう],ビザについて<b> 外務省[がいむしょう]</b>に 問[と]い 合[あ]わせた。,ビザについて<b>（　）</b>に 問[と]い 合[あ]わせた。
4075,帰省,きせい,homecoming,来週、<b>帰省</b>します。,らいしゅう <b>きせい</b> します,I will go home next week.,帰省[きせい],来週[らいしゅう]、<b> 帰省[きせい]</b>します。,来週[らいしゅう]、<b>（　）</b>します。
4076,反省,はんせい,"reflection, repentance",彼は十分<b>反省</b>しています。,かれ は じゅうぶん <b>はんせい</b> して います,He has repented enough.,反省[はんせい],彼[かれ]は 十分[じゅうぶん]<b> 反省[はんせい]</b>しています。,彼[かれ]は 十分[じゅうぶん]<b>（　）</b>しています。
4077,省く,はぶく,"omit, dispense with",時間がないので詳細は<b>省きます</b>。,じかん が ない の で しょうさい は <b>はぶきます</b>,I'll omit the details as there is no time.,省[はぶ]く,時間[じかん]がないので 詳細[しょうさい]は<b> 省[はぶ]きます</b>。,時間[じかん]がないので 詳細[しょうさい]は<b>（　）</b>。
4078,省略,しょうりゃく,"omission, abbreviation",地図内の小さい建物は<b>省略</b>してあります。,ちずない の ちいさい たてもの は <b>しょうりゃく</b> して あります,Small buildings have been omitted from the map.,省略[しょうりゃく],地図内[ちずない]の 小[ちい]さい 建物[たてもの]は<b> 省略[しょうりゃく]</b>してあります。,地図内[ちずない]の 小[ちい]さい 建物[たてもの]は<b>（　）</b>してあります。
4079,略す,りゃくす,"abbreviate, omit",国際連合を<b>略して</b>国連といいます。,こくさいれんごう を <b>りゃく して</b> こくれん と いいます,The UN is short for the United Nations.,略[りゃく]す,国際連合[こくさいれんごう]を<b> 略[りゃく]して</b> 国連[こくれん]といいます。,国際連合[こくさいれんごう]を<b>（　）</b> 国連[こくれん]といいます。
4080,略,りゃく,abbreviation,「IT」は何の<b>略</b>か知っていますか。,あいてぃー は なん の <b>りゃく</b> か しって います か,Do you know what IT stands for?,略[りゃく],「 IT」[あいてぃー]は 何[なん]の<b> 略[りゃく]</b>か 知[し]っていますか。,「 IT」[あいてぃー]は 何[なん]の<b>（　）</b>か 知[し]っていますか。
4081,概念,がいねん,"general idea, concept",インターネットは情報の<b>概念</b>を変えたよね。,いんたーねっと は じょうほう の <b>がいねん</b> を かえた よ ね,The Internet changed the concept of information.,概念[がいねん],インターネットは 情報[じょうほう]の<b> 概念[がいねん]</b>を 変[か]えたよね。,インターネットは 情報[じょうほう]の<b>（　）</b>を 変[か]えたよね。
4082,記念,きねん,"commemoration, memory",卒業の<b>記念</b>にみんなで旅行したよ。,そつぎょう の <b>きねん</b> に みんな で りょこう した よ,We all went on a trip to celebrate our graduation.,記念[きねん],卒業[そつぎょう]の<b> 記念[きねん]</b>にみんなで 旅行[りょこう]したよ。,卒業[そつぎょう]の<b>（　）</b>にみんなで 旅行[りょこう]したよ。
4083,信念,しんねん,"belief, conviction",自分の<b>信念</b>に従いたいと思います。,じぶん の <b>しんねん</b> に したがいたい と おもいます,I think I want to follow my own faith.,信念[しんねん],自分[じぶん]の<b> 信念[しんねん]</b>に 従[したが]いたいと 思[おも]います。,自分[じぶん]の<b>（　）</b>に 従[したが]いたいと 思[おも]います。
4084,不合格,ふごうかく,"failure, disqualification",残念ながら試験は<b>不合格</b>でした。,ざんねん ながら しけん は <b>ふごうかく</b> でした,"To our regret, he failed the examination.",不合格[ふごうかく],残念[ざんねん]ながら 試験[しけん]は<b> 不合格[ふごうかく]</b>でした。,残念[ざんねん]ながら 試験[しけん]は<b>（　）</b>でした。
4085,規定,きてい,"regulation, provision",代金には<b>規定</b>の手数料が含まれます。,だいきん に は <b>きてい</b> の てすうりょう が ふくまれます,Our price includes a set handling fee.,規定[きてい],代金[だいきん]には<b> 規定[きてい]</b>の 手数料[てすうりょう]が 含[ふく]まれます。,代金[だいきん]には<b>（　）</b>の 手数料[てすうりょう]が 含[ふく]まれます。
4086,物質,ぶっしつ,"matter, substance",この製品は有害な化学<b>物質</b>を含んでいるわよ。,この せいひん は ゆうがい な かがく<b>ぶっしつ</b> を ふくんで いる わ よ,This product contains a harmful chemical.,物質[ぶっしつ],この 製品[せいひん]は 有害[ゆうがい]な 化学[かがく]<b> 物質[ぶっしつ]</b>を 含[ふく]んでいるわよ。,この 製品[せいひん]は 有害[ゆうがい]な 化学[かがく]<b>（　）</b>を 含[ふく]んでいるわよ。
4087,含める,ふくめる,include,私を<b>含めて</b>10人が参加しました。,わたし を <b>ふくめて</b> 10 にん が さんか しました,"Ten people participated, myself included.",含[ふく]める,私[わたし]を<b> 含[ふく]めて</b>10 人[にん]が 参加[さんか]しました。,私[わたし]を<b>（　）</b>10 人[にん]が 参加[さんか]しました。
